abandon	vt. 抛弃，放弃
bleach	v. 去色，漂白, 漂白剂
bleak	adj. 荒凉的
bleed	v. 流血
blemish	vt. 玷污
blend	v.n. 混合
blessed	adj. 愉快的， 神圣的
blessing	n. 祝福
blink	v. 眨眼
bliss	n. 狂喜
block	n. 一块，阻碍，街区
blunder	v. 犯大错
blunt	adj. 迟钝的，使变钝
board	n. 木板，委员会
boast	v. 自夸，吹嘘
boastful	adj. 自夸的
bold	adj. 大胆的
bombastic	adj. 夸大的
bonanza	n. 富矿带，幸运
bond	n.联结，粘结，公债
bondage	n. 束缚
bonus	n. 红利，奖金
boon	n. 恩惠
boredom	n. 烦恼， 无聊
boring	n. 令人厌烦的，钻孔
botany	n. 植物学
bound	富有义务的，限制
boundary	n. 边界
boundless	adj. 无限的
bow	v. n. 弯腰，屈服，弓子
brace	n. 支持，使固定，支撑物，
brag	n.v.夸张
brain	n. 脑，头脑
brawl	n.vi.争吵
breach	n. 破裂
breakdown	n. 崩溃，倒塌，失败
breed	v. 养育，繁殖， 品种
breeze	n. 微风
brew	v. 酿造，图谋
brighten	v. 使发光，使快活
brim	n. 边
brink	n. 边缘
brisk	adj. 活泼的,轻快的
brittle	adj. 易碎的
broaden	v. 放宽，变阔
bruise	v. 打伤，瘀伤
brutal	adj. 野蛮的
bud	v. 芽，发芽
budge	v. 移动
budget	v. 预算，做预算
bulk	n. 物体，容积，大批
bulky	adj. 庞大的，笨重的
burglar	n. 夜盗， 窃贼
burning	adj. 燃烧的，强烈的
burnish	vt. 磨光，使光滑
butt	n. 末端
butter	n. 奶油
byword	n. 谚语
calamity	n.不幸之事，灾难
calculate	v. 计算，估计，计划
calibre	n. 直径，品质
cancel	vt. 取消
candidate	n. 候选人
canny	adj. 精明的，节俭的
canvas	n. 帆布
capable	adj. 有能力的
capacious	adj. 能容大量的
captivate	vt. 迷惑
captivity	n. 囚禁，拘留
carbon	n. 碳
cardinal	adj. 首要的，基本的
career	n. 生涯，职业
carnage	大屠杀，残杀
carnal	adj.肉体的
castigate	v. 谴责
casual	adj. 非正式的，随便的
casualty	n. 意外
cataclysm	n. 洪水， 大灾难
catastrophe	n. 异常的灾祸
catching	adj. 迷人的，传染的
categorical	adj. 绝对的，无条件的
cathedral	n. 教堂
catholic	adj. 普遍的
cause	n. 导致，事业，原因
caustic	adj. 刻薄的，腐蚀性的
cautious	adj. 小心的，谨慎的
cavern	n. 大山洞，大洞穴
ceaseless	adj. 不停的
celebrity	n. 名人
celestial	adj. 天的
censor	n. 检查，检查员
censure	v. n. 责难
centigrade	adj. 摄氏的
ceremonial	adj. 仪式，正式的
ceremonious	adj. 隆重的，正式的，恭敬的
ceremony	n. 仪式
chafe	v. 擦热，烦恼
chalk	n. 白垩，粉笔， 用粉笔写
champion	v. 支持， n. 冠军
chaos	n. 混乱
character	n. 性格，角色，文字
charge	v. 职责，收费，指控
charisma	n. 魅力，感召力
charitable	adj. 慷慨的，慈善的
charity	n. 施舍，慈善事业
chary	adj. 谨慎的，细心的
chaste	adj. 贞节的，纯正的
chat	n. 闲谈，聊天
check	vt. 检查，核对
cherish	vi. 珍爱，抚爱
chide	v. 斥责
chiefly	adv. 主要的，多半的
chill	v. 使变冷，寒冷
chilly	adj. 寒冷的
chirp	n. 喳喳
choice	n. 选择
choke	v.n. 窒息
choose	v. 选择
chop	n. 砍，排骨
chore	n. 零工，杂物
chorus	n. 合唱团
Christian	n. 基督教徒。 Adj. 基督教的
chronic	adj. 长期的，慢性的
chuckle	vi. 咯咯的笑
cipher	n. 密码
circuitous	adj. 迂回的
circular	adj. 循环的，圆的
circulate	v. 使循环，循环
circulation	n. 循环
circumference	n. 圆周
circumscribe	v. 划界限，限制
circumspect	adj. 慎重的，小心的
circumvent	vt. 欺诈，以计胜过
cite	vt. 引用，举例
civilian	n. adj. 平民，平民的
clamour	n. 叫嚣
clamp	v. 夹
clandestine	adj. 秘密的
clarify	v. 澄清， 阐明
clause	n. 分句，条款
clean	adv. 完全的
cleanse	v. 使清洁
cleft	n. 裂缝
clergy	n. 牧师
climate	n. 气候
climax	n. 高峰，顶点
clinch	v. 钉牢，揪住
cling	vi. 粘附
clinic	n. 门诊所
clip	n. 夹住，修剪，夹子，钳子。
clog	v. 阻碍
close	adj. 亲密的
clot	n. 凝块
clothing	n. 衣服
clumsy	笨拙的，愚笨的
cluster	n. 束，丛生
clutch	v. 抓住，掌握
clutter	n. 混乱，使混乱
coarse	adj. 粗糙的，粗野的
coax	v. 哄， 耐心调理
coddle	v. 骄养，溺爱
cogent	adj. 强有力的，有说服力的
cohere	vt. 附着，连贯
coherent	adj. 连贯的
cohesion	n. 附着，结合，凝聚力
cohesive	adj. 有凝聚力的
coil	v. 盘绕，卷
coin	v. 铸币，创造
coincide	v. 相符合，相巧合
collaborate	vi. 合作
collapse	 n. v. 倒塌， 崩溃
collateral	n. 抵押品
colloquial	adj. 会话的，口语的
colossal	adj. 巨大的
combination	n. 化合，组合
comet	n.  彗星
commander	n. 司令官，指挥员
commence	v. 开始，获得学位
commend	vt. 赞扬
commentator	n. 注释着，解说员
commerce	n. 商业
commission	n. 委员会，佣金
committee	n. 委员会，委员
commodious	adj. 宽敞的
communicate	v. 通信，交流
community	n. 社区，社会，公社
compact	adj. 压缩的，密集的
company	n. 伙伴
comparable	adj. 可比得，类似的
comparative	adj. 比较的
compare	v. 比较，比喻
compassion	n. 怜悯，同情
compatible	adj. 兼容的
compel	vt. 强迫
compensation	n. 补偿，赔偿
compete	vt. 竞争
competent	adj. 能胜任的
compile	v. 收集，编纂
complaint	抱怨，怨言，控告
complement	n. 补足物，补足
complementary	adj. adv. 补充的
complete	adj. 完全的，完成
complex	adj. 复杂的，综合体
complicate	v. 使复杂，使陷入
compliment	n. 问候，赞美，祝贺
complimentary	adj. 赞美的
comply	vi.顺从，应允
component	n. 组成部分
composed	adj. 沉着的
composure	n. 镇静
comprehend	vt. 理解
comprehensive	adj. 综合的，有理解的
comprise	v. 包括
compulsive	adj. 强迫的
compulsory	adj. 义务的，必修的
conceal	v. 隐藏
concede	vt. 让步，承认
conceit	n. 自负，自高自大
conceive	v. 想象，怀孕
concerned	adj. 焦虑的
concert	n.音乐会
concerted	adj. 协定的，协调的
concession	n. 让步，牵就
conciliatory	adj. 善于调节的
concise	adj. 简明的
conclude	v. 推断出，断定，结论
conclusive	adj. 决定的，最后的
concoct	v. 编造，虚构
concrete	adj. 具体的  n.水泥
concur	v. 同意，同时发生
concurrence	n. 一致
concurrent	adj. 同时发生的
condemn	vt. 谴责
condiment	n. 调味品
condition	n. 条件，状况，健康情形
condone	v. 宽恕，赦免
con`duct	v. 引导
`conduct	n. 行为
cone	n. 圆锥
confederate	adj. n. 同盟
confer	v. 协商，颁给，赋予
conference	n. 会议，讨论会
confess	v. 忏悔，坦白
confide	v. 倾诉
confidence	n. 信心
confident	adj. 确信的，自信的
confidential	adj.机密的
confine	n. 限制，边界
confirm	v. 证实，确认
confiscate	vt. 没收，充公
confound	vt. 使糊涂，迷惑
confuse	vt. 混淆
congenial	adj. 意气相投的
congested	adj. 拥挤的
congregate	vt. 聚集
congressman	n.国会议员
congruity	n. 一致，协调
conjure	v. 变戏法，恳求
connivance	n. 默许
connive	vi. 纵容，默许
connoisseur	n. 鉴赏家，行家
conscience	n. 良心，良知
conscientious	adj. 尽职的，正直的
conscious	adj. 有意识的
consecrate	v. 奉为神圣，奉献
consecutive	adj. 连续的
consensus	n. 一致
conservative	adj. 保守的，保守的人
conservatory	n. 温室，音乐学校
conserve	vt. 贮藏
consider	vt. 考虑
considerable	adj. 相当的
considerate	adj. 考虑周到的
console	v. 安慰
consolidate	v. 合并
consort	vt. 结交
conspicuous	adj. 引人注目的
conspiracy	n. 阴谋
conspire	vt. 阴谋，密谋
constant	adj. 不变得
constellation	n. 星座
constitute	v. 构成
constrain	v.强迫
constrict	v. 收紧，压缩
construct	vt. 建造，构造
construe	v. 解释，翻译
consult	v. 商量，请教
consume	v. 消费，消耗
consumer	n. 顾客，消费者
contagious	adj. 传染的
container	n. 容器
contaminate	v. 污染
contempt	n. 蔑视
contemplate	v. 凝视，沉思
contemptible	adj. 可鄙的
contemptuous	adj. 苗似的，傲慢的
contend	v. 争斗
con`tent	adj. 满足的
`content	n. 内容
continent	n. 大陆
contingent	adj. 可能发生的
continually	adv. 不断的
contour	n. 轮廓，海岸线
`contract	n. 契约
con`tract	v. 收缩，感染
contradict	v. 反驳，抵触
contrast	n. 对比
contravene	v. 反对，违反
contrite	adj. 悔悟的
contrive	v. 发明，设法
controversial	adj. 引起争论的
controversy	n. 争论
controvert	v. 反驳，辩论
convene	v. 集合
convenient	adj.便利的，方便的
convention	n. 会议，协定，传统
conventional	adj. 传统的，习俗的
convert	v. 转换
convey	v. 运输，表达
convict	v. 判罪，证明
convoy	n. 护送
cooperation	n.合作
coordinate	adj. 同等的，并列的
copper	n. 铜
copy	v. 复制，模仿
cordial	adj. 真诚的，诚恳的
corps	n. 军团，兵团
corpse	n. 尸体
corpulent	adj. 肥胖的
correct	adj. 正确的，纠正
correlate	v. 相关联
correspondence	n. 对应，符合，通信
corroborate	vt. 确证
corrode	v. 损害
cosmopolitan	adj. 全世界的
costume	n. 服装
counsel	n. 商议，忠告，律师，劝告
counterfeit	n. adj. 伪造，假冒的，赝品
counterpart	n.相对物，及相似之物
countless	adj. 无数的
court	n. 法庭   v.追求
courteous	adj. 有礼貌的，谦恭的
cover	vt. 包括，报道
covetous	adj. 贪心的
cower	v. 畏缩的
cozy=cosy	adj. 舒适的
craft	n. 船，手艺
crafty	adj. 灵巧的，巧妙的
cram	v. 填塞，仓促用功
crash	n. v. 撞碎
crave	v. 渴求
crazy	adj. 狂热的
credential	n. 凭证
credit	n. 信誉，学分
credulous	adj. 轻信的
creed	n. 信仰，信条
creek	n. 小湾，小溪
crevasse	n. 裂缝，破口
crew	n. 船员
crisp	adj. 脆的，卷曲的
critical	adj. 评论的，批评的，危及的,临界的
crooked	adj. 扭曲的，狡诈的
crucial	adj. 严重的，极重要的
crude	adj. 未提炼的，生的
cruel	adj. 残忍的
crumble	v. 粉碎，崩溃
crumple	v. 压皱
crush	vt. 榨，挤，压碎
crust	n. 地壳，硬外皮
cryptic	adj. 神秘的，隐藏的
crystal	n. 水晶，晶体，清澈的
cubic	adj. 立方体的
cuisine	n. 烹调
culmination	n. 顶点
culpable	adj. 该受谴责的
cult	n. 崇拜，崇拜者
cultivate	vt. 耕种，培养
cultivation	n. 耕种，培养
cunning	adj. 狡猾的，可爱的
curb	n. 抑制
curiosity	n. 好奇心
curious	adj. 好奇的
currency	n. 通货，通用，市价
current	adj. 现今的，n. 流，趋势
cursory	adj. 仓促的
curt	adj. 简短的，草率的
curtail	vt. 缩减
cushion	n. 垫层，缓解
custom	n. 习惯，进口税
cynical	adj. 讥讽的，冷嘲热讽的
dab	n. 轻拍
dagger	n. 短剑
damp	adj. 潮湿的
dampen	v. 使潮湿，使沮丧
dangerous	adj. 危险的
dangle	v. 悬摆
dank	adj.阴湿的
daring	adj. 大胆的，勇敢的
dart	v. 投掷
dated	adj. 有年头的，陈旧的
dauntless	adj. 勇敢的
daze	v. 混晕，使混晕，茫然
dazzle	v. 使目眩，使迷惑
dazzling	adj. 耀眼的
dead	adv. 完全的
deadly	adj. 致命的，极度的
deal 	vt. 处理，交易
debatable	adj. 争论中的，未决定的
debt	n. 债务
debtor	n. 债务人
decadence	n. 衰落，颓废
decay	vt. 腐败
deceit	n. 欺骗，欺诈
deceitful	adj. 欺骗的
deceive	v. 欺骗，行骗
decent	adj. 正派的，体面的
deceptive	adj. 虚伪的，骗人的
decide	v. 决定
decimal	adj. 十进制的，小数
declaim	v. 朗诵，演讲
decline	v. 衰落，拒绝
declivity	n. 下倾的斜面
decorum	n. 礼仪
decree	n. 法令，规定，颁布
decry	v. 危难，谴责
dedicate	vt. 奉献，致力于
deem	v. 认为
defame	v. 诽谤，损毁名誉
default	n. 不履行责任，缺乏，不履行
defect	v. 缺陷
defection	n. 背叛，缺陷
defective	adj. 有缺陷的
defend	vt. 防护，辩护
defer	v. 延期
deference	n. 敬意
deferential	adj. 敬意的
defiant	adj. 大胆反抗的
deficit	n. 赤字
defile	v. 弄污
definite	adj. 明确的，肯定的
deflect	v. 使偏离
deform	v. 使变形
defraud	vt. 欺诈
deft	adj. 灵巧的，熟练的
defunct	adj.死的
defy	v. 蔑视，反抗
degenerate	n. 堕落的，退步
degrade	v. 使降级，使堕落
deity	n. 神
dejected	adj. 失落的，沮丧的
delay	v. 推迟，耽搁，延误
delegate	n. 代表
delete	vt. 删除
deleterious	adj. 有害的
deliberate	ad. 认真的，故意的
delicate	adj. 精巧的，脆弱的
delicious	adj. 美味的，宜人的
delineate	v. 刻画，记述
delude	vt. 欺骗，迷惑
demise	n. 死亡
democracy	n. 民主
demolish	vt. 破坏
demonstrate	vt. 演示，论证
demur	vi. 踌躇，抗议
denote	vt. 指示，表示
denounce	vt. 谴责，声讨，告发
dense	adj. 密集的
density	n. 密度
deny	v. 否认
depart	vt. 离开，出发
dependent	adj. 依靠的，依赖的
depict	vt. 描写，叙述
deplore	v. 悲痛，深悔
deport	vt. 驱逐出境，放逐，举止
deposit	n. 放置，存款，押金
depot	n. 仓库，容纳
deprecate	vt. 抗议，攻击
depreciate	v. 贬值
depress	v. 使沮丧
depression	n. 萧条，凹陷，使沮丧
deputy	n. 代理人
derange	vt. 扰乱
deride	vt. 嘲笑，愚弄
desert	n. 沙漠，vt.离弃
deserve	v. 应得
design	n. 设计，图案, v.设计
designate	v. 指定，指派
designing	adj. 狡猾的，蓄意的
desirable	adj. 理想的，如意的
desire	vt. 想要，欲望
desirous	adj. 渴望的
desolate	adj. 荒凉的
despatch=dispatch	n.迅速处理
despicable	adj. 可鄙的
despise	vt. 轻视，蔑视
despoil	vt. 争夺，抢劫
dessert	n. 甜点
destination	n. 目的地
destine	vt. 指定，命运注定
destiny	n. 命运
destructive	adj. 破坏性的
detach	vt. 分开，分遣
detached	adj. 分离的，公正的
detain	v. 延迟，拘留
detect	vt. 探测，发掘
determination	n. 决定，决心
determine	v. 决定
deterrent	n. 制止物
detest	vt. 憎恶
detract	v. 去掉，减损
detriment	n. 损害
detrimental	adj. 有害的
devastate	vt. 毁坏
develop	vt. 发展，产生，成长
deviate	vt. 出轨，离题
device	n. 机械，装置，设计
devious	adj. 曲折的
devise	vt.计划，发明
devoid	adj. 缺乏的
devoted	adj. 热心的
devotion	n. 献身，忠诚，专心
devour	vt.吞食，吞没，毁灭
devout	adj. 虔诚的
dexterous	adj. 灵巧的
diagnose	v. 诊断，分析
diagnosis	n. 诊断
diagram	n. 图表
dialect	n. 方言，土语，地方话
dialogue	n. 对话
diameter	n. 直径
dictatorial	adj. 独裁的， 专断的
diet	n. 饮食，食物，节食
diffuse	v. 传播,扩散
dignified	adj. 尊严的，高贵的
dignify	vt. 使尊严，使显贵
dignity	n. 尊严
digress	v. 离开本题
dilate	vt. 使膨胀，使扩大
dilemma	n. 左右为难，困境
diligent	adj. 勤勉的，勤奋的
dilute	v. 稀释，冲淡
dim	adj. 昏暗的，朦胧的
dimension	n. 尺度，维
diminish	v. 减少，缩小
diminutive	adj. 小的
dingy	adj. 昏暗的，肮脏的
diplomacy	n. 外交，策略
diplomatic	adj. 外交的，策略的
direct	vt. 引导，直接的
disarm	v. 缴械，消除
disarming	adj. 消除敌意的
disarrange	v. 扰乱
disarray	n. 杂乱，混乱
disaster	n. 灾难
disastrous	adj. 灾难性的，悲惨的
disband	v. 解散
disburse	v. 支付，支出，分配
discard	vt.  丢弃
discerm	v. 辨明
discernible	adj. 可察觉的
discharge	v. 释放
disciple	n. 门徒
disclaim	v. 拒绝承认
discord	n. 不和谐
discount	n. 折扣
discourse	n 演讲，论文
discreet	adj. 慎重的,谨慎的
discrete	adj. 不连续的，离散的
discretion	n. 判断力，慎重
discrimination	n. 歧视
disdain	n. 轻视，不懈，轻蔑
disfigure	v. 破坏
disgrace	v.不光彩的，丢脸的
disgust	n. 厌恶
disinterested	adj. 公正的
dismal	adj. 沮丧的，阴暗的
dismay	v. 使饥饿，使沮丧
disparage	vt. 轻视，毁谤
dispatch	vt. 分配，派遣
dispensable	adj. 可有可无的
displace	vt.取代，转移
dispose	v. 处理，丢掉
disposition	n. 性情
disprove	v. 反驳，证明有误
disreputable	adj.声名狼藉的
disrespectful	adj. 无礼的，轻视的
disrupt	v. 使中断，使分裂
dissect	v. 解剖，详细研究
dissemble	v. 隐藏，伪装
disseminate	v. 散步，传播
dissimilar	adj. 不相似的，不同的
dissimulate	v. 假装，掩饰
dissipate	v. 驱散，消散
distant	adj. 远的
distillation	n. 蒸馏
distort	vt. 歪曲
distract	v. 分散，打扰
distressed	adj. 痛苦的
